Employee_Number,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Over_Time
1640,3936,11,1,No
1641,7945,15,0,Yes
1642,5743,11,0,Yes
1644,15202,25,1,No
1645,5440,14,2,Yes
1646,3760,13,0,Yes
1647,3517,17,0,No
1648,2580,13,0,No
1649,2166,14,0,Yes
1650,5869,11,0,No
1651,8008,12,2,No
1653,5206,17,2,No
1654,5295,21,0,No
1655,16413,16,2,No
1656,13269,15,3,No
1657,2783,19,0,No
1658,5433,12,1,No
1659,2013,11,0,No
1661,13966,19,1,Yes
1662,4374,15,0,No
1664,6842,20,1,No
1665,17426,25,1,No
1666,17603,24,1,No
1667,4581,24,0,Yes
1668,4735,15,2,No
1669,4187,13,1,Yes
1670,5505,14,2,No
1671,5470,13,2,No
1673,5476,11,2,No
1674,2587,16,1,Yes
1675,2440,22,0,No
1676,15972,14,3,No
1677,15379,14,0,No
1678,7082,16,0,Yes
1680,2728,11,0,No
1681,5368,25,1,Yes
1682,5347,14,2,No
1683,3195,18,3,Yes
1684,3989,11,0,Yes
1687,3306,19,1,No
1689,7005,15,0,No
1691,2655,11,2,Yes
1692,1393,12,0,No
1693,2570,20,0,No
1694,3537,12,1,No
1696,3986,14,1,No
1697,10883,20,1,No
1698,2028,18,3,No
1700,9525,14,2,No
1701,2929,12,0,No
1702,2275,21,1,Yes
1703,7879,19,1,Yes
1704,4930,14,0,Yes
1706,7847,17,1,Yes
1707,4401,16,1,No
1708,9241,12,0,No
1709,2974,17,1,No
1710,4502,15,0,No
1712,10748,23,1,No
1714,1555,11,1,No
1716,12936,11,0,No
1718,2305,15,3,No
1719,16704,11,0,No
1720,3433,13,1,No
1721,3477,14,1,No
1722,6430,19,1,No
1724,6516,16,1,Yes
1725,3907,13,3,No
1727,5562,14,0,No
1728,6883,16,1,No
1729,2862,12,1,No
1731,4978,11,1,No
1732,10368,12,1,Yes
1733,6134,13,3,Yes
1734,6735,15,0,No
1735,3295,13,0,No
1736,5238,20,0,No
1737,6472,15,1,Yes
1739,9610,13,1,No
1740,19833,14,0,No
1744,9756,21,2,No
1745,4968,16,0,No
1746,2145,14,1,No
1747,2180,11,1,No
1749,8346,19,1,No
1751,3445,11,0,No
1752,2760,13,0,No
1753,6294,12,0,Yes
1754,7140,11,1,No
1755,2932,14,3,Yes
1756,5147,15,0,No
1757,4507,12,0,No
1758,8564,20,0,Yes
1760,2468,14,1,No
1761,8161,13,3,No
1762,2109,13,1,No
1763,5294,16,1,No
1764,2718,14,0,No
1766,5811,16,1,Yes
1767,2437,16,1,Yes
1768,2766,22,3,No
1770,19038,12,3,No
1771,3055,15,2,No
1772,2289,20,2,No
1774,4001,14,1,Yes
1775,12965,20,3,Yes
1778,3539,13,0,No
1779,6029,12,0,No
1780,2679,13,0,No
1782,3702,11,1,No
1783,2398,17,0,Yes
1784,5468,14,2,No
1786,13116,11,0,No
1787,4189,14,2,No
1789,19328,17,1,Yes
1790,8321,13,1,Yes
1792,2342,12,3,Yes
1794,4071,13,0,No
1797,5813,18,0,Yes
1798,3143,19,1,No
1799,2044,11,1,No
1800,13464,21,0,No
1801,7991,15,0,No
1802,3377,17,1,No
1803,5538,18,2,No
1804,5762,14,1,No
1805,2592,13,3,No
1807,5346,17,1,No
1809,4213,15,0,No
1812,4127,18,1,No
1813,2438,13,0,No
1814,6870,12,0,No
1815,10447,13,1,Yes
1816,9667,14,0,No
1818,2148,11,0,Yes
1821,8926,22,1,No
1822,6513,17,1,No
1823,6799,21,2,No
1824,16291,22,1,No
1826,2705,16,1,No
1827,10333,12,1,Yes
1829,4448,12,1,No
1830,6854,15,1,No
1833,9637,14,2,No
1834,3591,25,1,No
1835,5405,20,2,Yes
1836,4684,13,0,No
1837,15787,14,0,Yes
1839,1514,16,0,No
1842,2956,17,0,No
1844,2335,15,3,Yes
1845,5154,22,2,No
1847,6962,22,1,Yes
1849,5675,20,1,No
1850,2379,14,0,Yes
1852,3812,13,0,No
1853,4648,13,0,No
1854,2936,22,2,No
1856,2105,12,0,No
1857,8578,14,1,No
1858,2706,15,1,No
1859,6384,17,2,No
1860,3968,13,0,No
1862,9907,12,0,Yes
1863,13225,12,1,No
1864,3540,21,1,No
1865,2804,11,0,No
1866,19392,13,0,No
1867,19665,12,0,No
1868,2439,24,0,Yes
1869,7314,21,3,No
1870,4774,19,1,No
1871,3902,14,3,No
1873,2662,20,1,No
1875,2856,19,1,No
1876,1081,13,0,No
1878,2472,23,0,Yes
1880,5673,13,1,Yes
1881,4197,11,1,No
1882,9713,13,3,Yes
1883,2062,14,0,No
1885,4284,22,1,Yes
1886,4788,11,0,Yes
1888,5906,13,2,No
1890,3886,21,0,No
1892,16823,11,1,No
1893,2933,13,1,Yes
1898,6500,14,0,No
1900,17174,11,1,No
1903,5033,15,1,No
1905,2307,23,1,Yes
1907,2587,16,0,No
1908,5507,16,2,No
1909,4393,21,1,No
1911,13348,13,1,No
1912,6583,11,1,Yes
1915,8103,12,0,Yes
1916,3978,12,1,No
1918,2544,18,1,No
1922,5399,12,0,No
1924,5487,14,0,No
1927,6834,12,1,Yes
1928,1091,17,0,No
1929,5736,19,1,No
1931,2226,11,1,No
1932,5747,15,0,Yes
1933,9854,11,0,Yes
1934,5467,18,1,No
1935,5380,16,1,No
1936,5151,25,1,No
1937,2133,16,1,Yes
1938,17875,13,1,Yes
1939,2432,14,0,Yes
1940,4771,19,2,No
1941,19161,15,0,No
1943,5087,12,2,Yes
1944,2863,12,0,No
1945,5561,16,1,No
1947,2144,14,0,No
1948,3065,13,1,Yes
1949,2810,22,0,No
1950,9888,21,0,No
1951,8628,18,1,No
1952,2867,13,0,No
1954,5373,12,1,No
1955,6667,18,1,No
1956,5003,21,0,No
1960,2367,12,1,No
1961,2858,14,0,No
1962,5204,11,0,Yes
1965,4105,14,0,No
1966,9679,24,0,No
1967,5617,11,0,Yes
1968,10448,13,0,Yes
1969,2897,11,2,No
1970,5968,20,3,No
1971,7510,17,1,No
1972,2991,11,1,Yes
1973,19636,18,1,Yes
1974,1129,11,3,Yes
1975,13341,12,0,No
1976,4332,12,0,No
1979,11031,20,1,No
1980,4440,19,0,Yes
1981,4617,12,0,No
1982,2647,13,0,No
1985,6323,11,1,No
1986,5677,14,1,No
1987,2187,14,0,No
1989,3748,13,0,No
1992,3977,19,1,Yes
1993,8633,23,0,No
1994,2008,12,3,No
1995,4440,15,2,No
1996,3067,19,1,No
1997,5321,11,1,No
1998,5410,17,1,Yes
1999,2782,22,1,No
2000,11957,18,2,No
2003,2660,11,1,Yes
2007,3375,12,0,No
2008,5098,19,0,No
2009,4878,13,1,Yes
2010,2837,13,0,No
2012,2406,19,2,No
2013,2269,14,1,No
2014,4108,13,0,No
2015,13206,12,1,No
2016,10422,19,2,No
2017,13744,25,1,Yes
2018,4907,22,1,Yes
2019,3482,15,2,No
2020,2436,12,0,Yes
2021,2380,11,0,Yes
2022,19431,13,0,No
2023,1790,19,1,No
2024,7644,19,2,No
2025,5131,13,3,No
2026,6306,21,1,No
2027,4787,14,3,Yes
2031,18880,11,0,No
2032,2339,11,1,No
2034,13570,23,1,No
2035,6712,21,2,No
2036,5406,24,1,No
2037,8938,11,1,No
2038,2439,14,0,No
2040,8837,16,0,Yes
2041,5343,11,1,No
2044,6728,12,2,No
2045,6652,13,1,No
2046,4850,15,0,No
2048,2809,14,0,No
2049,5689,14,2,Yes
2051,2001,14,3,No
2052,2977,12,1,No
2053,4025,13,1,Yes
2054,3785,14,0,No
2055,10854,13,1,Yes
2056,12031,11,1,No
2057,9936,19,0,No
2060,2966,18,0,No
2061,2571,17,1,No
2062,9991,15,1,No
2064,6142,20,1,Yes
2065,5390,14,0,No
2068,4404,12,0,No
